«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.488,0.518,0.486,0.487,0.488,-0.205,-0.001,4512684.0,8996907
2026/01/12,0.512,0.513,0.486,0.488,0.512,-4.688,-0.024,5495486.5,11037184
2026/01/11,0.518,0.52,0.511,0.512,0.518,-1.158,-0.006,1623655.875,3149449
2026/01/08,0.519,0.527,0.517,0.518,0.519,-0.385,-0.002,3227709.5,6195879
2026/01/06,0.519,0.53,0.518,0.519,0.519,0.0,0.0,4468270.5,8542712
2026/01/05,0.521,0.53,0.517,0.519,0.521,-0.384,-0.002,5939866.5,11312599
2026/01/04,0.53,0.54,0.52,0.521,0.53,-1.698,-0.009,2475664.0,4711433
2025/12/31,0.512,0.54,0.51,0.53,0.512,3.516,0.018,2.2343838E7,42497329
2025/12/30,0.54,0.549,0.507,0.512,0.54,-5.185,-0.028,9993930.0,18829379
2025/12/29,0.545,0.56,0.535,0.54,0.545,-0.917,-0.005,9272759.0,16870339
2025/12/28,0.596,0.6,0.544,0.545,0.596,-8.557,-0.051,1.5552146E7,27721820
2025/12/25,0.578,0.609,0.579,0.596,0.578,3.114,0.018,1.4521385E7,24570546
2025/12/24,0.554,0.578,0.546,0.578,0.554,4.332,0.024,1.072366E7,19044353
2025/12/23,0.542,0.564,0.542,0.554,0.542,2.214,0.012,9698077.0,17493250
2025/12/22,0.578,0.578,0.537,0.542,0.578,-6.228,-0.036,1.0521215E7,19080330
2025/12/21,0.579,0.596,0.564,0.578,0.579,-0.173,-0.001,1.4709987E7,25190048
2025/12/18,0.581,0.59,0.56,0.579,0.581,-0.344,-0.002,9310081.0,16209645
2025/12/17,0.608,0.615,0.581,0.581,0.608,-4.441,-0.027,1.7332946E7,29272654
2025/12/16,0.578,0.609,0.575,0.608,0.578,5.19,0.03,2.24321E7,37768359
2025/12/15,0.579,0.6,0.555,0.578,0.579,-0.173,-0.001,1.4585271E7,25324159
2025/12/14,0.598,0.597,0.539,0.579,0.598,-3.177,-0.019,2.013062E7,36213822
2025/12/11,0.631,0.629,0.593,0.598,0.631,-5.23,-0.033,2.2784154E7,37005383
2025/12/10,0.62,0.635,0.602,0.631,0.62,1.774,0.011,2.1354182E7,34152649
2025/12/09,0.61,0.622,0.592,0.62,0.61,1.639,0.01,1.2688376E7,20816266
2025/12/08,0.612,0.614,0.593,0.61,0.612,-0.327,-0.002,8031896.5,13234926
2025/12/07,0.595,0.619,0.58,0.612,0.595,2.857,0.017,1.8809574E7,31710243
2025/12/04,0.575,0.595,0.57,0.595,0.575,3.478,0.02,1.3679783E7,23495885
2025/12/03,0.551,0.583,0.53,0.575,0.551,4.356,0.024,1.8306402E7,32457281
2025/12/02,0.507,0.554,0.51,0.551,0.507,8.679,0.044,1.9669884E7,36882943
2025/12/01,0.536,0.549,0.504,0.507,0.536,-5.41,-0.029,5098742.0,9774273
2025/11/30,0.546,0.567,0.531,0.536,0.546,-1.832,-0.01,1.4101439E7,25463251
2025/11/27,0.533,0.548,0.521,0.546,0.533,2.439,0.013,1.4204876E7,26388112
2025/11/26,0.53,0.543,0.517,0.533,0.53,0.566,0.003,6323639.0,11986673
2025/11/25,0.53,0.544,0.517,0.53,0.53,0.0,0.0,1.8968172E7,35672456
2025/11/24,0.53,0.533,0.514,0.53,0.53,0.0,0.0,7045264.5,13437430
2025/11/23,0.514,0.53,0.502,0.53,0.514,3.113,0.016,9670995.0,18538613
2025/11/20,0.524,0.529,0.482,0.514,0.524,-1.908,-0.01,1.5247913E7,30027604
2025/11/19,0.501,0.539,0.497,0.524,0.501,4.591,0.023,1.7123196E7,32891823
2025/11/18,0.521,0.52,0.495,0.501,0.521,-3.839,-0.02,1.3197772E7,26177419
2025/11/17,0.495,0.527,0.481,0.521,0.495,5.253,0.026,1.6182871E7,32492767
2025/11/16,0.463,0.495,0.464,0.495,0.463,6.911,0.032,2.1659418E7,44778682
2025/11/13,0.428,0.467,0.426,0.463,0.428,8.177999,0.035,3.324902E7,73564273
2025/11/12,0.408,0.435,0.409,0.428,0.408,4.902,0.02,8296974.5,19415955
2025/11/11,0.421,0.425,0.407,0.408,0.421,-3.088,-0.013,3578284.0,8665656
2025/11/10,0.429,0.437,0.418,0.421,0.429,-1.865,-0.008,8720858.0,20374493
2025/11/09,0.419,0.435,0.418,0.429,0.419,2.387,0.01,1.4936812E7,35204075
2025/11/06,0.42,0.43,0.404,0.419,0.42,-0.238,-0.001,1.9346804E7,46070887
2025/11/05,0.39,0.429,0.394,0.42,0.39,7.692,0.03,4.52796E7,107865185
2025/11/04,0.364,0.396,0.363,0.39,0.364,7.143,0.026,1.4361687E7,37191567
2025/11/03,0.373,0.375,0.361,0.364,0.373,-2.413,-0.009,3277074.5,8863804
2025/11/02,0.37,0.375,0.369,0.373,0.37,0.811,0.003,2400904.0,6462428
2025/10/30,0.37,0.373,0.367,0.37,0.37,0.0,0.0,4540675.0,12290548
2025/10/29,0.368,0.373,0.364,0.37,0.368,0.543,0.002,2609606.25,7070928
2025/10/28,0.376,0.378,0.361,0.368,0.376,-2.128,-0.008,4944709.0,13412479
2025/10/27,0.382,0.384,0.375,0.376,0.382,-1.571,-0.006,3727095.75,9868634
2025/10/26,0.385,0.387,0.382,0.382,0.385,-0.779,-0.003,2952744.75,7701816
2025/10/23,0.38,0.386,0.378,0.385,0.38,1.316,0.005,4533524.5,11835146
2025/10/22,0.38,0.384,0.374,0.38,0.38,0.0,0.0,4372237.5,11585883
2025/10/21,0.383,0.389,0.375,0.38,0.383,-0.783,-0.003,7949280.0,20972869
2025/10/20,0.405,0.412,0.375,0.383,0.405,-5.432,-0.022,1.776971E7,45457957
2025/10/19,0.385,0.415,0.385,0.405,0.385,5.195,0.02,1.5664341E7,39141313
2025/10/16,0.37,0.389,0.374,0.385,0.37,4.054,0.015,1.0482646E7,27618487
2025/10/15,0.363,0.371,0.361,0.37,0.363,1.928,0.007,4943585.5,13491812
2025/10/14,0.364,0.37,0.361,0.363,0.364,-0.275,-0.001,3507361.0,9617812
2025/10/13,0.36,0.373,0.356,0.364,0.36,1.111,0.004,6218888.5,17056909
2025/10/12,0.37,0.376,0.36,0.36,0.37,-2.703,-0.01,3253221.75,8939929
2025/10/08,0.37,0.382,0.37,0.37,0.37,0.0,0.0,4905879.0,13126187
2025/10/07,0.375,0.379,0.367,0.37,0.375,-1.333,-0.005,3681242.0,9885778
2025/10/06,0.379,0.388,0.375,0.375,0.379,-1.055,-0.004,5610829.5,14704543
2025/10/05,0.38,0.39,0.378,0.379,0.38,-0.263,-0.001,4419004.0,11565584
2025/10/02,0.368,0.397,0.368,0.38,0.368,3.261,0.012,1.6457968E7,42961855
