«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,124.27,124.5,121.01,121.86,124.27,-1.94,-2.41,3308547.25,27003
2026/01/12,124.6,126.3,124.12,124.27,124.6,-0.26,-0.33,3317779.75,26529
2026/01/11,124.89,126.0,124.0,124.6,124.89,-0.23,-0.29,2265303.5,18185
2026/01/08,126.32,127.7,124.51,124.89,126.32,-1.13,-1.43,4972510.0,39552
2026/01/06,125.81,127.4,124.1,126.32,125.81,0.15,0.19,1777299.0,14062
2026/01/05,126.23,128.0,124.5,125.81,126.23,-0.33,-0.42,6836808.0,54242
2026/01/04,127.0,129.7,126.0,126.23,127.0,-0.61,-0.77,2411501.25,18928
2025/12/31,129.56,130.0,127.0,127.0,129.56,-1.98,-2.56,5779083.0,45116
2025/12/30,130.05,133.0,129.0,129.56,130.05,-0.38,-0.49,1.2793406E7,97801
2025/12/29,126.0,131.4,125.61,130.05,126.0,3.21,4.05,1.3607467E7,104835
2025/12/28,128.1,129.98,126.0,126.0,128.1,-1.64,-2.1,5182187.0,40855
2025/12/25,129.2,131.5,128.0,128.1,129.2,-0.85,-1.1,1.0217863E7,78966
2025/12/24,130.36,132.0,129.16,129.2,130.36,-0.89,-1.16,5793018.0,44408
2025/12/23,132.2,134.8,129.0,130.36,132.2,-1.39,-1.84,8331139.0,63224
2025/12/22,132.51,136.77,131.1,132.2,132.51,-0.23,-0.31,1.7198006E7,128474
2025/12/21,128.9,134.6,127.0,132.51,128.9,2.8,3.61,2.5871846E7,196277
2025/12/18,125.91,132.0,125.0,128.9,125.91,2.37,2.99,1.5331782E7,119191
2025/12/17,124.88,131.7,125.59,125.91,124.88,0.82,1.03,1.3474916E7,104385
2025/12/16,124.69,127.65,122.0,124.88,124.69,0.15,0.19,6060936.0,48696
2025/12/15,128.68,132.0,121.22,124.69,128.68,-3.1,-3.99,8522701.0,66917
2025/12/14,130.86,134.6,128.5,128.68,130.86,-1.67,-2.18,1.3589287E7,103305
2025/12/11,130.1,136.9,129.71,130.86,130.1,0.58,0.76,2.3805816E7,179755
2025/12/10,132.0,133.5,129.0,130.1,132.0,-1.44,-1.9,2.8679622E7,219871
2025/12/09,126.9,139.5,120.5,132.0,126.9,4.02,5.1,1.2061464E8,927624
2025/12/08,107.26,127.7,106.99,126.9,107.26,18.309999,19.639999,7.4226296E7,621217
2025/12/07,104.92,108.5,105.3,107.26,104.92,2.23,2.34,7190348.0,66922
2025/12/04,100.72,106.4,101.0,104.92,100.72,4.17,4.2,1.3767143E7,131363
2025/12/03,100.78,102.0,100.5,100.72,100.78,-0.06,-0.06,2935300.5,29042
2025/12/02,101.42,102.88,100.31,100.78,101.42,-0.63,-0.64,2603637.5,25773
2025/12/01,103.07,104.0,100.5,101.42,103.07,-1.6,-1.65,5796696.5,56894
2025/11/30,100.77,103.5,100.5,103.07,100.77,2.28,2.3,2897505.5,28485
2025/11/27,101.12,102.94,100.0,100.77,101.12,0.08,0.08,2281747.25,22646
2025/11/26,102.35,104.4,101.0,101.12,102.35,-1.2,-1.23,4768654.0,46688
2025/11/25,105.21,106.3,102.12,102.35,105.21,-2.72,-2.86,5003693.5,47943
2025/11/24,107.06,108.28,105.12,105.21,107.06,-1.73,-1.85,3285922.5,30897
2025/11/23,107.47,109.0,107.01,107.06,107.47,-0.42,-0.45,4135409.5,38434
2025/11/20,108.0,109.0,106.9,107.47,108.0,-0.49,-0.53,5666566.5,52703
2025/11/19,109.94,111.0,108.0,108.0,109.94,-1.76,-1.94,8520551.0,77949
2025/11/18,107.97,110.3,105.85,109.94,107.97,1.82,1.97,1.2040386E7,111077
2025/11/17,109.59,111.11,107.07,107.97,109.59,-1.48,-1.62,8006445.0,73640
2025/11/16,109.22,111.7,108.0,109.59,109.22,0.34,0.37,1.1394892E7,103925
2025/11/13,108.23,112.49,108.0,109.22,108.23,0.91,0.99,2.0366762E7,184741
2025/11/12,108.46,110.7,108.0,108.23,108.46,-0.21,-0.23,1.0686559E7,97946
2025/11/11,106.49,114.21,108.04,108.46,106.49,1.85,1.97,3.6806676E7,329177
2025/11/10,106.16,107.9,103.2,106.49,106.16,0.31,0.33,5179395.5,48979
2025/11/09,107.16,109.89,106.0,106.16,107.16,-0.93,-1.0,4995342.5,46393
2025/11/06,109.0,110.99,106.4,107.16,109.0,-1.69,-1.84,1.2994001E7,119715
2025/11/05,108.52,114.99,108.03,109.0,108.52,0.44,0.48,5.5149688E7,494390
2025/11/04,104.68,113.0,103.4,108.52,104.68,3.67,3.84,8.2960904E7,760906
2025/11/03,105.31,106.98,104.2,104.68,105.31,-0.76,-0.8,1.0388846E7,98524
2025/11/02,100.78,108.5,101.0,105.31,100.78,4.49,4.53,2.9076506E7,274993
2025/10/30,101.0,103.4,100.6,100.78,101.0,-0.22,-0.22,4453584.5,43590
2025/10/29,101.85,103.97,100.65,101.0,101.85,-0.83,-0.85,5648059.5,55590
2025/10/28,103.79,105.5,101.67,101.85,103.79,-1.87,-1.94,7646568.0,74473
2025/10/27,100.97,108.0,100.4,103.79,100.97,2.79,2.82,2.4460924E7,232335
2025/10/26,101.86,103.0,100.65,100.97,101.86,-0.87,-0.89,4282274.5,42055
2025/10/23,102.89,104.51,101.5,101.86,102.89,-1.0,-1.03,8003966.5,78056
2025/10/22,103.99,105.4,102.51,102.89,103.99,-1.06,-1.1,7356239.5,71111
2025/10/21,104.98,106.9,102.76,103.99,104.98,-0.94,-0.99,6110496.5,58761
2025/10/20,106.48,108.0,104.51,104.98,106.48,-1.41,-1.5,1.2253861E7,116150
2025/10/19,106.27,108.96,106.1,106.48,106.27,0.45,0.48,3674171.0,34188
2025/10/16,106.09,107.89,106.0,106.27,106.09,0.17,0.18,3130974.25,29391
2025/10/15,106.92,108.0,106.0,106.09,106.92,-0.78,-0.83,3186275.25,29897
2025/10/14,106.58,109.9,106.59,106.92,106.58,0.32,0.34,1.3574948E7,126023
2025/10/13,103.94,107.95,103.0,106.58,103.94,2.94,3.06,1.3897216E7,130410
2025/10/12,104.02,105.0,102.33,103.94,104.02,-0.08,-0.08,5916266.5,57081
2025/10/08,106.5,108.5,104.0,104.02,106.5,-2.33,-2.48,3342600.5,31824
2025/10/07,108.03,109.88,103.44,106.5,108.03,-1.42,-1.53,1.2020874E7,112934
2025/10/06,108.36,110.5,108.0,108.03,108.36,-0.3,-0.33,1.0613363E7,97135
2025/10/05,106.04,111.0,107.0,108.36,106.04,2.19,2.32,2.4282374E7,221548
2025/10/02,101.72,107.99,101.0,106.04,101.72,4.25,4.32,4.5591384E7,435471
