«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,1055.0,1099.99,600.0,1055.0,1055.0,4.26,44.990002,41600.74,57
2025/12/31,1099.0,1055.0,950.0,1099.0,1099.0,-4.0,-44.0,10340.0,10
2025/12/29,1000.29,1099.0,1099.0,1000.29,1000.29,9.87,98.709999,1099.0,1
2025/12/24,1137.0,1100.0,1000.29,1137.0,1137.0,-12.02,-136.710007,18500.61,17
2025/12/22,1090.0,1137.0,1135.0,1090.0,1090.0,4.31,47.0,11360.0,10
2025/12/17,1170.0,1090.0,1000.0,1170.0,1170.0,-6.84,-80.0,11090.1,11
2025/12/10,1021.0,1170.0,916.0,1021.0,1021.0,14.59,149.0,28762.81,28
2025/12/08,1080.0,1021.0,1000.0,1080.0,1080.0,-5.46,-59.0,73065.0,73
2025/12/03,1080.0,1080.0,1080.0,1080.0,1080.0,0.0,0.0,1080.0,1
2025/12/01,1051.0,1139.0,1080.0,1051.0,1051.0,2.76,29.0,35449.5,32
2025/11/26,1139.0,1069.99,1010.0,1139.0,1139.0,-7.73,-88.0,30618.9,29
2025/11/24,1139.0,1139.0,1139.0,1139.0,1139.0,0.0,0.0,1139.0,1
2025/11/19,1000.0,1139.99,1135.0,1000.0,1000.0,13.9,139.0,39794.9,35
2025/11/12,1250.0,1250.0,1000.0,1000.0,1250.0,-20.0,-250.0,243520.02,220
2025/11/10,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,18750.0,15
2025/11/05,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,8750.0,7
2025/11/03,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,2500.0,2
2025/10/29,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,67500.0,54
2025/10/27,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,15000.0,12
2025/10/22,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,12500.0,10
2025/10/15,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,1250.0,1
2025/10/06,1300.0,1250.0,1250.0,1300.0,1300.0,-3.85,-50.0,55000.0,44
2025/09/24,1250.0,1300.0,1300.0,1250.0,1250.0,4.0,50.0,1300.0,1
2025/09/22,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,7500.0,6
2025/09/15,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,6250.0,5
2025/09/10,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,16250.0,13
2025/09/03,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,3750.0,3
2025/08/25,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,37500.0,30
2025/08/20,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,8750.0,7
2025/08/11,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,7500.0,6
2025/08/06,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,46250.0,37
2025/08/04,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,125000.0,100
2025/07/28,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,3750.0,3
2025/07/21,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,21250.0,17
2025/07/16,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,2500.0,2
2025/07/14,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,1250.0,1
2025/07/07,1250.0,1250.01,1250.0,1250.0,1250.0,0.0,0.0,21250.1,17
2025/07/02,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,5000.0,4
2025/06/30,1250.0,1250.1,1250.0,1250.0,1250.0,0.0,0.0,140001.0,112
2025/06/25,1250.0,1251.0,1250.0,1250.0,1250.0,0.0,0.0,95001.0,76
2025/06/23,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,1250.0,1
2025/06/18,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,37500.0,30
2025/06/16,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,273750.0,219
2025/06/11,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,6250.0,5
2025/05/26,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,45000.0,36
2025/05/21,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,63750.0,51
2025/05/19,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,406250.0,325
2025/05/14,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,7500.0,6
2025/05/07,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,70000.0,56
2025/05/05,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,70000.0,56
2025/04/30,1250.0,1250.01,1250.0,1250.0,1250.0,0.0,0.0,8750.03,7
2025/04/28,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,2500.0,2
2025/04/16,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,390000.0,312
2025/04/14,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,32500.0,26
2025/04/09,1250.0,1400.0,1250.0,1250.0,1250.0,0.0,0.0,9200.0,7
2025/04/07,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,8750.0,7
2025/03/26,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,233750.0,187
2025/03/24,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,77500.0,62
2025/03/19,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,11250.0,9
2025/03/17,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,12500.0,10
2025/03/12,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,11250.0,9
2025/03/10,1250.0,1350.0,1250.0,1250.0,1250.0,0.0,0.0,36350.0,29
2025/03/05,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,20000.0,16
2025/03/03,1250.0,1250.0,1250.0,1250.0,1250.0,0.0,0.0,30000.0,24
2025/02/26,1251.0,1251.0,1250.0,1251.0,1251.0,-0.08,-1.0,36254.0,29
2025/02/24,1250.0,1251.0,1250.0,1250.0,1250.0,0.08,1.0,17501.0,14
2025/02/19,1250.0,1251.0,1250.0,1250.0,1250.0,0.0,0.0,252501.0,202
