«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,7.21,7.49,6.96,7.28,7.21,0.97,0.07,1.3181624E8,18045823
2026/01/12,7.21,7.27,7.08,7.21,7.21,0.0,0.0,2.3044344E7,3221814
2026/01/11,7.51,7.6,7.16,7.21,7.51,-3.99,-0.3,1.10217352E8,14980579
2026/01/08,7.4,7.55,7.32,7.51,7.4,1.49,0.11,7.7509344E7,10417454
2026/01/06,7.11,7.41,7.1,7.4,7.11,4.08,0.29,5.54616E7,7583743
2026/01/05,7.19,7.2,7.0,7.11,7.19,-1.11,-0.08,3.1720242E7,4485378
2026/01/04,7.03,7.34,7.12,7.19,7.03,2.28,0.16,5.9863848E7,8269717
2025/12/31,7.4,7.44,7.03,7.03,7.4,-5.0,-0.37,7.0272056E7,9730273
2025/12/30,7.43,7.59,7.31,7.4,7.43,-0.4,-0.03,8.2041208E7,10959646
2025/12/29,7.36,7.43,7.22,7.43,7.36,0.95,0.07,6.5307548E7,8935005
2025/12/28,7.21,7.47,7.19,7.36,7.21,2.08,0.15,6.6203012E7,9000439
2025/12/25,7.3,7.33,7.13,7.21,7.3,-1.23,-0.09,5.9471148E7,8268553
2025/12/24,7.11,7.41,7.11,7.3,7.11,2.67,0.19,1.26989976E8,17417812
2025/12/23,7.03,7.22,6.86,7.11,7.03,1.14,0.08,1.061494E8,14966331
2025/12/22,6.87,7.1,6.8,7.03,6.87,2.33,0.16,1.38491024E8,19867543
2025/12/21,6.41,6.87,6.45,6.87,6.41,7.18,0.46,2.37253552E8,35541813
2025/12/18,6.09,6.45,6.1,6.41,6.09,5.25,0.32,9.8792568E7,15719763
2025/12/17,6.12,6.16,6.09,6.09,6.12,-0.49,-0.03,1.6450793E7,2690755
2025/12/16,6.18,6.26,6.12,6.12,6.18,-0.97,-0.06,5.21273E7,8407004
2025/12/15,6.08,6.2,6.05,6.18,6.08,1.64,0.1,5.7655468E7,9457826
2025/12/14,6.16,6.18,6.05,6.08,6.16,-1.3,-0.08,3.6505764E7,5997900
2025/12/11,6.24,6.28,6.11,6.16,6.24,-1.28,-0.08,2.6931312E7,4364383
2025/12/10,6.28,6.32,6.21,6.24,6.28,-0.64,-0.04,2.0678318E7,3316318
2025/12/09,6.23,6.35,6.25,6.28,6.23,0.8,0.05,6.5957588E7,10478623
2025/12/08,6.11,6.25,6.1,6.23,6.11,1.96,0.12,4.1400292E7,6681559
2025/12/07,6.03,6.14,6.04,6.11,6.03,1.33,0.08,1.8721278E7,3075011
2025/12/04,6.02,6.06,5.99,6.03,6.02,0.17,0.01,8152872.5,1354454
2025/12/03,5.97,6.11,5.98,6.02,5.97,0.84,0.05,3.9620688E7,6586226
2025/12/02,6.02,6.09,5.96,5.97,6.02,-0.83,-0.05,1.6188918E7,2686293
2025/12/01,6.08,6.16,6.01,6.02,6.08,-0.99,-0.06,2.483428E7,4082425
2025/11/30,6.04,6.09,5.99,6.08,6.04,0.66,0.04,1.5437242E7,2551563
2025/11/27,6.11,6.2,5.99,6.04,6.11,-1.15,-0.07,3.8218524E7,6276076
2025/11/26,6.04,6.21,6.01,6.11,6.04,1.16,0.07,5.1490944E7,8393558
2025/11/25,6.14,6.18,6.03,6.04,6.14,-1.63,-0.1,1.2958223E7,2127286
2025/11/24,6.19,6.29,6.13,6.14,6.19,-0.81,-0.05,1.959765E7,3174749
2025/11/23,6.25,6.3,6.17,6.19,6.25,-0.96,-0.06,1.3591627E7,2190304
2025/11/20,6.37,6.38,6.23,6.25,6.37,-1.88,-0.12,2.6076354E7,4152234
2025/11/19,6.31,6.37,6.12,6.37,6.31,0.95,0.06,6.6161792E7,10604601
