«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,11.0,11.05,10.65,10.77,11.0,-2.09,-0.23,5.0339576E7,4671648
2026/01/12,11.2,11.29,10.85,11.0,11.2,-1.79,-0.2,2.5637388E7,2336898
2026/01/11,10.9,11.39,10.91,11.2,10.9,2.75,0.3,3.0046594E7,2676529
2026/01/08,11.0,11.18,10.85,10.9,11.0,-0.91,-0.1,2.5583072E7,2322993
2026/01/06,10.93,11.07,10.87,11.0,10.93,0.64,0.07,1.3179447E7,1198513
2026/01/05,11.35,11.51,10.81,10.93,11.35,-3.7,-0.42,6.0006028E7,5488004
2026/01/04,11.72,11.77,11.35,11.35,11.72,-3.16,-0.37,1.3048651E7,1137362
2025/12/31,11.65,11.77,11.52,11.72,11.65,0.6,0.07,3.284944E7,2814855
2025/12/30,11.5,11.74,11.42,11.65,11.5,1.3,0.15,4.7105804E7,4048549
2025/12/29,11.4,11.55,11.38,11.5,11.4,0.88,0.1,1.3275812E7,1155472
2025/12/28,11.41,11.54,11.32,11.4,11.41,-0.09,-0.01,1.854791E7,1617222
2025/12/25,11.4,11.52,11.3,11.41,11.4,0.09,0.01,1.1755893E7,1026081
2025/12/24,11.4,11.53,11.36,11.4,11.4,0.0,0.0,2.7889904E7,2439011
2025/12/23,11.04,11.4,11.05,11.4,11.04,3.26,0.36,6.5202988E7,5778610
2025/12/22,11.03,11.1,10.9,11.04,11.03,0.27,0.03,7419989.0,674927
2025/12/21,10.9,11.05,10.9,11.03,10.9,1.19,0.13,5606240.5,510719
2025/12/18,11.0,11.07,10.85,10.9,11.0,-0.91,-0.1,7069948.0,647666
2025/12/17,11.24,11.27,10.88,11.0,11.24,-2.14,-0.24,3.2156538E7,2938196
2025/12/16,11.3,11.32,11.14,11.24,11.3,-0.09,-0.01,2.5133242E7,2234870
2025/12/15,11.39,11.38,11.26,11.3,11.39,-0.79,-0.09,2.1994502E7,1946377
2025/12/14,11.28,11.44,11.26,11.39,11.28,0.98,0.11,2.7587324E7,2424406
2025/12/11,11.0,11.31,11.0,11.28,11.0,2.55,0.28,5.6376316E7,5021146
2025/12/10,10.85,11.1,10.8,11.0,10.85,1.38,0.15,2.649573E7,2410998
2025/12/09,10.72,10.94,10.69,10.85,10.72,1.21,0.13,2.9408246E7,2724745
2025/12/08,10.69,10.8,10.69,10.72,10.69,0.28,0.03,1.4879756E7,1388417
2025/12/07,10.63,10.78,10.62,10.69,10.63,0.56,0.06,1.128004E7,1055294
2025/12/04,10.63,10.9,10.62,10.63,10.63,0.0,0.0,2.3764852E7,2208357
2025/12/03,10.83,10.99,10.61,10.63,10.83,-1.85,-0.2,2.8125026E7,2617525
2025/12/02,11.05,11.15,10.76,10.83,11.05,-1.99,-0.22,6.7153856E7,6100963
2025/12/01,11.2,11.25,10.97,11.05,11.2,-1.34,-0.15,1.8505772E7,1669589
2025/11/30,11.02,11.2,11.0,11.2,11.02,1.63,0.18,4.5603016E7,4123036
